ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2013/054253,Unspecified,,"(-4.59383601205, 39.13668770810)",VANGA,LUNGALUNGA,KWALE,,,,,,,,,,,,,,,,,,,0
2013/054557,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054836,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,1432821293,4298463879,07/10/2013 12:00:00 AM,07/25/2013 12:00:00 AM,01/08/2013 12:00:00 AM,07/20/2015 12:00:00 AM,,23 months 19 days,23 months,Rehabilitation Of Bachuma Gate-Maji Ya Chumvi (A109),THE ROAD PROJECT IS APPROXIMATELY 53KM LONG SITUATED IN KWALE COUNTY,PROVIDE ACCESS TO ECONOMIC AND SOCIAL SERVICES SERVICES,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/055098,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,,,,,,,,,,,,,,,,,,,0
2012/053881,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,16400000000,18600000000,04/06/2011 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Mombasa Port Area Road Development Project,Constuction of By Pass (dongo Kundu),Improve traffic flow,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/053891,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,19155482020,22986578426,04/11/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,07/20/2016 12:00:00 AM,,60 months 19 days,60 months,Mombasa Port Development (Phase I),Expansion of the port through dvelopment of a new container Terminal,To enhance the container handling capacity at the Port and to provide handling equipment,020400 - MarIne Transport; 020600 - Government Clearing Services,Ministry of Transport and Infrastructure,Dredging of Mombasa Port.,109 - Ministry of Transport and Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2012/053299,Kwale District,"(-4.14000000000, 39.15100000000)","(-4.10654192360, 39.61290832880)",PUMA,KINANGO,KWALE,,9108527,03/22/2010 12:00:00 AM,04/13/2010 12:00:00 AM,,12/22/2014 12:00:00 AM,,53 months 0,53 months,The Management Of The Demonstrating Project Of Integrated Planning And Management To Sustainable Tourism At The Mombasa Coast,The project has be developed to demostrate best practices and strategies to reduce the degradation of Marine and ciastal environments of transboundary significanceand enhance sustinable tourism practices,"The objectives are:-
-To capture Best Available practices and technologies (BAPs) and BATs) for contaminant reduction and sustainable collaborative tourism investments
-to develop and implement mechanisms for sustainable governance and management that me",100200 - Environment Management and Protection,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2012/053299,Kilifi District,"(-3.17500000000, 39.68400000000)","(-4.10654192360, 39.61290832880)",ADU,MAGARINI,KILIFI,,9108527,03/22/2010 12:00:00 AM,04/13/2010 12:00:00 AM,,12/22/2014 12:00:00 AM,,53 months 0,53 months,The Management Of The Demonstrating Project Of Integrated Planning And Management To Sustainable Tourism At The Mombasa Coast,The project has be developed to demostrate best practices and strategies to reduce the degradation of Marine and ciastal environments of transboundary significanceand enhance sustinable tourism practices,"The objectives are:-
-To capture Best Available practices and technologies (BAPs) and BATs) for contaminant reduction and sustainable collaborative tourism investments
-to develop and implement mechanisms for sustainable governance and management that me",100200 - Environment Management and Protection,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051918,Bungoma,"(0.74900000000, 34.64100000000)","(-4.06168484425, 39.66225963250)",MUKUYUNI,KABUCHAI,BUNGOMA,87968006,113101726,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,03/03/2016 12:00:00 AM,09/12/2016 12:00:00 AM,95 months 8 days,95 months,Nutrition And Care For Hiv/Aids Affected People,PROVISION OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA,PROVISIONS OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA SO THAT THEY ARE ABLE TO TAKE THEIR A.R.V s DRUGS,040200 - Curative Health Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1081 - Ministry of Health,Ongoing,Health,0
2012/053953,Nation Wide - Kenya,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,47598750,63465000,12/31/2011 12:00:00 AM,01/31/2012 12:00:00 AM,,07/31/2017 12:00:00 AM,,66 months 0,66 months,Rural Electrification Project,Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.,Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
